Title,Author,Rating,Date Completed,Get Cover Image,Cover Image,Currently Reading,Genre,Topic,Notes,Date Started
Man's Search for Meaning,"Frankl, Viktor E.",3,10/24/2020,https://airtable.com/tblFKk2Z5THzqPENb/recdtwXedWqM9rKNo?blocks=bliATv69IO4BqYexJ,,,,,,
"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs","Doerr, John",3,10/28/2021,https://airtable.com/tblFKk2Z5THzqPENb/recMGQ8pVIvlopMJ9?blocks=bliATv69IO4BqYexJ,,,,,,
Ogilvy on Advertising,"Ogilvy, David",3,2/6/2016,https://airtable.com/tblFKk2Z5THzqPENb/reclFSIonRU2P7DMR?blocks=bliATv69IO4BqYexJ,,,,,,
Path Between Two Seas,David McCullough,3,1/17/2023,https://airtable.com/tblFKk2Z5THzqPENb/recoky5vcIIOzgmSS?blocks=bliATv69IO4BqYexJ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197198l/2372.jpg,checked,History,Personal Interest - History,ties into theme of great american works,1/2/2023
Survivor,"Palahniuk, Chuck *",3,8/11/2015,https://airtable.com/tblFKk2Z5THzqPENb/recwed9AYVht2kFau?blocks=bliATv69IO4BqYexJ,,,,,,
The Black Swan: The Impact of the Highly Improbable,"Taleb, Nassim Nicholas *",3,12/31/2021,https://airtable.com/tblFKk2Z5THzqPENb/rec4bbRyjrNSO6gcb?blocks=bliATv69IO4BqYexJ,,,,,,
The Infinite Machine: How an Army of Crypto-hackers Is Building the Next Internet with Ethereum,"Russo, Camila *",3,1/25/2022,https://airtable.com/tblFKk2Z5THzqPENb/recwsq3hkpgJEHhB5?blocks=bliATv69IO4BqYexJ,,,,,,
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,"Ries, Eric *",3,1/20/2017,https://airtable.com/tblFKk2Z5THzqPENb/recNHqcWUfvTfZWyc?blocks=bliATv69IO4BqYexJ,,,,,,
The New New Thing: A Silicon Valley Story,"Lewis, Michael",3,10/28/2021,https://airtable.com/tblFKk2Z5THzqPENb/rec4PtfQub2eG4Ry4?blocks=bliATv69IO4BqYexJ,,,,,,
The Obesity Code: Unlocking the Secrets of Weight Loss,"Fung, Jason *",3,12/27/2020,https://airtable.com/tblFKk2Z5THzqPENb/recGlZxX0AkWsmXQK?blocks=bliATv69IO4BqYexJ,,,,,,
Venture Deals,Brad Feld,3,12/29/2022,https://airtable.com/tblFKk2Z5THzqPENb/rec38zjxOhOvNXg3W?blocks=bliATv69IO4BqYexJ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551786996l/43728764.jpg,,Business,Fundraising,re-read,1/16/2023
"Zero to One: Notes on Startups, or How to Build the Future","Thiel, Peter",3,1/15/2017,https://airtable.com/tblFKk2Z5THzqPENb/recwhyLlVfDPgYqwQ?blocks=bliATv69IO4BqYexJ,,,,,,
The Undoing Project: A Friendship That Changed Our Minds,"Lewis, Michael",2,1/5/2017,https://airtable.com/tblFKk2Z5THzqPENb/recXnAM3lSb3RKdew?blocks=bliATv69IO4BqYexJ,,,,,,
The Unwinding: An Inner History of the New America,"Packer, George",,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recr6ivZ80Ya3uD81?blocks=bliATv69IO4BqYexJ,,,,,,
